mote_id,path_len,pdr_exp,delay_s,gen_count,tx_j_data,rx_j_data,cpu_j_data,ctrl_hello,ctrl_cluster,ctrl_routing,ctrl_trust,ctrl_tx_j,ctrl_rx_j,ctrl_cpu_j,tx_j_total,rx_j_total,cpu_j_total
1,1,0.7751041184636742,0.02,36568,1.947172864,1.8722816,0.18284,424,424,1961,1007,0.0009038877973874327,0.0321392,0.0003600000000000001,1.9480767517973874,1.9044208,0.18320000000000003
2,1,0.671483286908078,0.02,37961,1.9474904064,1.9436031999999999,0.18980500000000003,424,424,2014,1007,0.0009112195256973112,0.0325632,0.000365,1.9484016259256973,1.9761663999999999,0.19017000000000006
3,1,0.7533581023149472,0.02,41156,2.191474688,2.1071872,0.20578000000000002,486,486,2268,1134,0.0010047318187604963,0.0368064,0.00040500000000000003,2.1924794198187607,2.1439936,0.20618499999999998
4,1,0.6106623586429726,0.02,33313,1.7090368512,1.7056255999999999,0.16656500000000002,378,378,1836,918,0.0008105375214350511,0.0295488,0.00032500000000000004,1.7098473887214352,1.7351744,0.16689000000000004
6,2,0.48727972244722084,0.04,20407,2.2338644991999996,2.0896768,0.20407000000000003,270,270,1134,594,0.0005351270583987178,0.0190944,0.00021,2.2343996262583983,2.1087712,0.20428000000000002
7,3,0.3115554888349973,0.06,43675,7.128878079999999,6.70848,0.6551250000000001,459,459,2244,1122,0.0011216459652842125,0.0360672,0.00042,7.129999725965284,6.7445471999999995,0.655545
8,2,0.4327819832194268,0.04,10491,1.0968382464,1.0742783999999999,0.10491,135,135,495,270,0.00032668840424656266,0.008712,0.000115,1.0971649348042465,1.0829903999999997,0.10502500000000001
9,3,0.33022891814067834,0.06,22616,3.5803480064,3.4738176,0.33924000000000004,190,190,874,456,0.0006345850967891379,0.014409599999999998,0.000225,3.580982591496789,3.4882272,0.339465
10,2,0.49700754572925493,0.04,35152,3.7183504384,3.5995648,0.35152000000000005,416,416,1872,936,0.0009856935644374089,0.0306176,0.00035000000000000005,3.719336131964438,3.6301824,0.35187
11,1,0.7659257049082501,0.02,26431,1.407397888,1.3532672,0.13215500000000002,312,312,1404,728,0.0007921323467803794,0.0232128,0.00026500000000000004,1.4081900203467803,1.3764799999999997,0.13242
12,2,0.6324448766669782,0.04,12663,1.3394820096,1.2966912,0.12663000000000002,105,105,455,245,0.00036890817411886075,0.007672,0.00013000000000000002,1.339850917774119,1.3043631999999998,0.12676
13,1,0.8161172161172161,0.02,17757,0.945524736,0.9091583999999999,0.088785,204,204,918,459,0.0005137167451087332,0.015014399999999999,0.00017500000000000003,0.9460384527451087,0.9241728,0.08896000000000003
14,2,0.5715532457722784,0.04,22357,2.5022669823999997,2.2893567999999997,0.22357000000000002,180,180,828,432,0.0005805839611016097,0.0136512,0.000225,2.5028475663611016,2.3030079999999993,0.22379500000000002
15,4,0.25240541838801406,0.08,1286,0.30077173760000003,0.26337279999999996,0.025720000000000003,22,22,44,22,6.209683450957734e-05,0.0009151999999999999,2.5e-05,0.30083383443450956,0.264288,0.025745000000000007
16,3,0.3894663119868906,0.06,15765,2.676569088,2.421504,0.23647500000000005,108,108,432,216,0.0004896302609951097,0.0072575999999999995,0.00016,2.677058718260995,2.4287616,0.23663500000000004
17,5,0.16733153903971462,0.1,25225,7.4675686400000005,6.457599999999999,0.630625,162,162,702,351,0.0006925606687400126,0.0115776,0.000255,7.46826120066874,6.469177599999999,0.6308799999999999
18,3,0.4191030778841479,0.06,21044,3.7387612160000003,3.2323584,0.31566000000000005,190,190,836,418,0.00057262240315743,0.013740800000000001,0.00021500000000000002,3.7393338384031582,3.2460991999999997,0.3158750000000001
19,5,0.23924253796174919,0.1,29676,8.5877121024,7.597055999999999,0.7419,180,180,900,450,0.0007044115059573013,0.0144,0.000285,8.588416513905955,7.6114559999999996,0.742185
20,4,0.29094759125841674,0.08,22343,5.2828146687999995,4.5758464,0.44686000000000003,250,250,1150,600,0.0007889249686332055,0.018959999999999998,0.000225,5.283603593768632,4.5948063999999995,0.447085
21,4,0.29860631917209035,0.08,49603,11.682498559999999,10.1586944,0.99206,400,400,2000,1000,0.001226003626878218,0.032,0.000475,11.683724563626878,10.190694400000002,0.9925350000000001
22,2,0.5605391211872772,0.04,50451,5.42449152,5.166182399999999,0.50451,506,506,2346,1196,0.0015464074847967224,0.0383456,0.000495,5.426037927484797,5.204527999999999,0.505005
23,1,0.7383985441310282,0.02,48442,2.4851908608,2.4802304,0.24221,450,450,2205,1125,0.0012927485016479476,0.03564,0.00047000000000000004,2.4864836093016476,2.5158704000000003,0.24267999999999998
24,1,0.7299345062283292,0.02,32869,1.6862585855999999,1.6828927999999999,0.16434500000000002,301,301,1419,731,0.0010539267741965764,0.023185599999999997,0.00032,1.6873125123741963,1.7060784,0.16466500000000003
25,2,0.5858690109332416,0.04,31506,3.2617027584,3.2262144,0.31506,329,329,1504,752,0.0009975913057975606,0.024515199999999997,0.00031,3.262700349705797,3.2507296,0.31537000000000004
26,1,0.7345132743362832,0.02,33947,1.7415625728,1.7380864,0.16973500000000002,364,364,1768,884,0.0010647015275189143,0.028454399999999998,0.00032500000000000004,1.7426272743275188,1.7665407999999998,0.17006000000000004
27,1,0.7218664226898445,0.02,28119,1.4425721856,1.4396928,0.140595,306,306,1479,765,0.0008067484410149975,0.024072,0.00028,1.443378934041015,1.4637648,0.140875
29,1,0.8255216693418941,0.02,47517,2.4377361408,2.4328704,0.23758500000000002,520,520,2496,1248,0.0012494972560731198,0.0402688,0.00046,2.438985638056073,2.4731392000000003,0.238045
30,1,0.7663551401869159,0.02,18564,0.9523777536,0.9504768,0.09282000000000001,208,208,988,520,0.0005489593389037544,0.016224,0.000185,0.9529267129389037,0.9667008,0.09300500000000002
31,1,0.8236438822670883,0.02,39556,2.0293177343999997,2.0252672,0.19778,424,424,2120,1060,0.0010446663137274464,0.033920000000000006,0.00038,2.030362400713727,2.0591871999999998,0.19816000000000003
32,1,0.776478449716004,0.02,24113,1.2370547712,1.2345856,0.120565,260,260,1300,676,0.0006911461001462083,0.0210496,0.00024,1.2377459173001462,1.2556352000000002,0.120805
33,1,0.7341772151898734,0.02,23173,1.1888305152,1.1864576,0.11586500000000001,270,270,1296,648,0.0006055054912715485,0.020908799999999998,0.00023,1.1894360206912715,1.2073663999999997,0.116095
34,1,0.7888812313347117,0.02,22705,1.1648209919999999,1.162496,0.11352500000000001,265,265,1219,636,0.0006357771487002373,0.0200976,0.000225,1.1654567691487001,1.1825936,0.11375000000000002
35,1,0.7642327510368229,0.02,29281,1.5021855744,1.4991872,0.146405,324,324,1620,810,0.0007730947652522167,0.02592,0.000285,1.5029586691652521,1.5251071999999999,0.14669000000000001
36,1,0.7372425554243736,0.02,31997,1.6415228927999999,1.6382463999999999,0.15998500000000002,371,371,1696,848,0.0009259997083621006,0.0276448,0.00031,1.6424488925083618,1.6658912000000001,0.16029500000000002
37,1,0.7404768074630733,0.02,28297,1.4517040128,1.4488063999999998,0.141485,318,318,1537,795,0.0007609267661886965,0.025016,0.00028,1.4524649395661888,1.4738224,0.141765
38,1,0.7644218219785957,0.02,29704,1.5755952128,1.5208447999999999,0.14852,324,324,1620,810,0.0009125315674939783,0.02592,0.000285,1.576507744367494,1.5467647999999998,0.14880500000000002
39,2,0.5730360115337201,0.04,26470,2.7945543679999996,2.710528,0.26470000000000005,300,300,1350,700,0.0007231260969009439,0.02232,0.00026500000000000004,2.7952774940969003,2.7328480000000006,0.264965
40,1,0.7616379310344827,0.02,32287,1.7126057984,1.6530943999999999,0.16143500000000002,364,364,1716,884,0.0009903629246146568,0.028038399999999998,0.00032,1.7135961613246147,1.6811327999999996,0.16175500000000004
41,2,0.5551634043727119,0.04,30073,3.248846336,3.0794752,0.30073,350,350,1550,800,0.0010235246810706635,0.025679999999999998,0.000305,3.249869860681071,3.1051552,0.30103500000000005
42,3,0.3697315491321252,0.06,34170,5.472448512,5.248512,0.5125500000000001,343,343,1715,882,0.0012105675151832399,0.027675199999999997,0.00033500000000000007,5.473659079515183,5.2761872,0.5128850000000001
43,2,0.5817216024340771,0.04,32839,3.4904967167999996,3.3627135999999997,0.32839,336,336,1584,816,0.0009245196819904328,0.0258816,0.00032,3.49142123648199,3.3885951999999997,0.32871000000000006
44,1,0.8095304444754076,0.02,32875,1.7437952,1.6832,0.16437500000000002,301,301,1419,731,0.0009815124707713528,0.023185599999999997,0.00032,1.7447767124707714,1.7063856000000002,0.16469500000000004
45,1,0.7306804441024514,0.02,46553,2.4693200896,2.3835135999999997,0.23276500000000003,490,490,2303,1176,0.0013625327761430629,0.0375536,0.000455,2.470682622376143,2.4210671999999995,0.23322000000000004
46,1,0.8326612903225806,0.02,44082,2.4240162815999997,2.2569984,0.22041000000000002,387,387,1935,989,0.0011038691498105253,0.031166399999999997,0.00043000000000000004,2.42512015074981,2.2881648,0.22084
47,2,0.59250715847926,0.04,34236,3.6705374208,3.5057663999999997,0.34236000000000005,301,301,1505,774,0.0009969278171561013,0.0242864,0.00033500000000000007,3.6715343486171563,3.5300527999999995,0.342695
48,1,0.8078276634318012,0.02,49962,2.7473504256,2.5580544,0.24981000000000003,440,440,2200,1100,0.001323673062415981,0.0352,0.000475,2.748674098662416,2.5932543999999997,0.250285
49,2,0.5725762016230082,0.04,24172,2.9479784448,2.4752128,0.24172000000000002,210,210,1050,546,0.0007711620812619017,0.0170016,0.00024,2.948749606881262,2.4922144,0.24196
50,2,0.6262454638634458,0.04,10253,1.1832454144,1.0499072,0.10253000000000001,108,108,396,216,0.0003738199743336507,0.0069696,0.000115,1.1836192343743335,1.0568768,0.10264500000000001
51,2,0.6229971238770692,0.04,36499,4.0103349247999995,3.7374975999999998,0.36499000000000004,336,336,1554,798,0.0010947357204811683,0.025468799999999996,0.0003600000000000001,4.011429660520481,3.7629664,0.36535
52,2,0.46223338718803647,0.04,29667,3.2019474432,3.0379008,0.29667000000000004,288,288,1440,720,0.000827997335855904,0.023039999999999998,0.000285,3.2027754405358557,3.0609408,0.29695499999999997
53,1,0.8182263596276335,0.02,16360,0.8594104319999999,0.8376319999999999,0.08180000000000001,180,180,765,405,0.00047073695773025846,0.012888,0.00017,0.8598811689577301,0.8505199999999999,0.08197000000000003
54,1,0.7406852649316608,0.02,14284,0.7503556607999999,0.7313408,0.07142000000000001,138,138,690,368,0.00043197385414332485,0.0112608,0.000145,0.7507876346541432,0.7426016,0.07156500000000002
